MusicID,UserID,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
1,1,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3
2,2,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2
3,3,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4
4,4,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4
5,5,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4
6,6,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3
7,7,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3
8,8,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5
9,9,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4
10,10,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4
11,11,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3
12,12,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3
13,13,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3
14,14,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1
15,15,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5
16,16,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2
17,17,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1
18,18,Music,Melody,Night,Social gatherings or parties,Social gatherings ,recommendations,4
19,19,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3
20,20,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4
21,21,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4
22,22,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5
23,23,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4
24,24,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1
25,25,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3
26,26,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4
27,27,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4
28,28,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1
29,29,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4
30,30,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3
31,31,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4
32,32,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5
33,33,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3
34,34,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3
